Player Id,Name,Games Played Fumbles,Games Played Rushing,Rushing Fumbles,Rushing Attempts,Rushing Yards,Fumbles Per Game,Carries Per Fumble,Yards Per Fumble,Yards Per Carry
josephaddai/2495793,"Addai, Joseph",20,20,3,234,928,0.1500,78.0000,309.3333,3.9658
andrewilliams/2543565,"Williams, Andre",33,33,1,323,1065,0.0303,323.0000,1065.0000,3.2972
marionbarber/2506447,"Barber, Marion",24,24,1,227,796,0.0417,227.0000,796.0000,3.5066
le'veonbell/2540175,"Bell, Le'Veon",47,47,4,908,4045,0.0851,227.0000,1011.2500,4.4548
adrianpeterson/2507164,"Peterson, Adrian",77,77,15,1503,7263,0.1948,100.2000,484.2000,4.8323
carloshyde/2543743,"Hyde, Carlos",34,34,6,415,1791,0.1765,69.1667,298.5000,4.3157
vickballard/2533012,"Ballard, Vick",17,17,3,224,877,0.1765,74.6667,292.3333,3.9152
robertturbin/2533460,"Turbin, Robert",73,73,1,328,1291,0.0137,328.0000,1291.0000,3.9360
tevincoleman/2552453,"Coleman, Tevin",25,25,4,205,912,0.1600,51.2500,228.0000,4.4488
reggiebush/2506874,"Bush, Reggie",82,82,14,798,3550,0.1707,57.0000,253.5714,4.4486
thomasrawls/2553733,"Rawls, Thomas",22,22,1,256,1179,0.0455,256.0000,1179.0000,4.6055
davidjohnson/2553435,"Johnson, David",32,32,7,418,1820,0.2188,59.7143,260.0000,4.3541
charlessims/2543770,"Sims, Charles",31,31,4,224,863,0.1290,56.0000,215.7500,3.8527
lamarmiller/2533034,"Miller, Lamar",75,75,6,906,4003,0.0800,151.0000,667.1667,4.4183
legarretteblount/497149,"Blount, LeGarrette",100,100,13,1168,5122,0.1300,89.8462,394.0000,4.3853
toddgurley/2552475,"Gurley, Todd",29,29,5,507,1991,0.1724,101.4000,398.2000,3.9270
leseanmccoy/79607,"McCoy, LeSean",101,101,14,1743,8317,0.1386,124.5000,594.0714,4.7717
colinkaepernick/2495186,"Kaepernick, Colin",69,69,21,375,2300,0.3043,17.8571,109.5238,6.1333
dougmartin/2532899,"Martin, Doug",57,57,7,1012,4227,0.1228,144.5714,603.8571,4.1769
rayrice/941,"Rice, Ray",63,63,5,1069,4387,0.0794,213.8000,877.4000,4.1038
jordanhoward/2555418,"Howard, Jordan",15,15,1,252,1313,0.0667,252.0000,1313.0000,5.2103
jonathanstewart/949,"Stewart, Jonathan",84,84,15,1096,4669,0.1786,73.0667,311.2667,4.2600
rashadjennings/71345,"Jennings, Rashad",78,78,4,891,3570,0.0513,222.7500,892.5000,4.0067
russellwilson/2532975,"Wilson, Russell",80,80,15,483,2689,0.1875,32.2000,179.2667,5.5673
ladainiantomlinson/2504778,"Tomlinson, LaDainian",29,29,2,294,1194,0.0690,147.0000,597.0000,4.0612
trentrichardson/2533032,"Richardson, Trent",46,46,7,614,2032,0.1522,87.7143,290.2857,3.3094
alexsmith/2506340,"Smith, Alex",98,98,11,358,1688,0.1122,32.5455,153.4545,4.7151
tashardchoice/1970,"Choice, Tashard",56,56,3,216,758,0.0536,72.0000,252.6667,3.5093
matthewstafford/79860,"Stafford, Matthew",99,99,17,222,743,0.1717,13.0588,43.7059,3.3468
dannywoodhead/4327,"Woodhead, Danny",83,83,2,488,2118,0.0241,244.0000,1059.0000,4.3402
jeremyhill/2543603,"Hill, Jeremy",47,47,7,667,2757,0.1489,95.2857,393.8571,4.1334
tyrodtaylor/2495240,"Taylor, Tyrod",43,43,7,226,1284,0.1628,32.2857,183.4286,5.6814
tombrady/2504211,"Brady, Tom",108,108,10,227,363,0.0926,22.7000,36.3000,1.5991
bilalpowell/2495328,"Powell, Bilal",74,74,3,533,2331,0.0405,177.6667,777.0000,4.3734
isaiahcrowell/2550189,"Crowell, Isaiah",48,48,5,531,2265,0.1042,106.2000,453.0000,4.2655
spencerware/2540204,"Ware, Spencer",27,27,3,289,1334,0.1111,96.3333,444.6667,4.6159
anthonydixon/497172,"Dixon, Anthony",96,96,1,274,934,0.0104,274.0000,934.0000,3.4088
miketolbert/2507428,"Tolbert, Mike",102,102,6,592,2217,0.0588,98.6667,369.5000,3.7449
alfredblue/2543600,"Blue, Alfred",46,46,4,452,1646,0.0870,113.0000,411.5000,3.6416
jaycutler/2495824,"Cutler, Jay",86,86,12,214,1054,0.1395,17.8333,87.8333,4.9252
brandonjacobs/2506448,"Jacobs, Brandon",39,39,6,362,1639,0.1538,60.3333,273.1667,4.5276
dextermccluster/497190,"McCluster, Dexter",89,89,3,250,1042,0.0337,83.3333,347.3333,4.1680
ezekielelliott/2555224,"Elliott, Ezekiel",15,15,5,322,1631,0.3333,64.4000,326.2000,5.0652
marshawnlynch/2495663,"Lynch, Marshawn",86,86,13,1494,6511,0.1512,114.9231,500.8462,4.3581
mattryan/310,"Ryan, Matt",112,112,9,234,727,0.0804,26.0000,80.7778,3.1068
jamesstarks/497206,"Starks, James",76,76,9,618,2506,0.1184,68.6667,278.4444,4.0550
markingram/2495466,"Ingram, Mark",78,78,5,953,4238,0.0641,190.6000,847.6000,4.4470
stevenjackson/2505936,"Jackson, Steven",76,76,2,1216,4731,0.0263,608.0000,2365.5000,3.8906
frankgore/2506404,"Gore, Frank",107,107,18,1797,7504,0.1682,99.8333,416.8889,4.1758
c.j.spiller/497204,"Spiller, C.J.",89,89,14,710,3451,0.1573,50.7143,246.5000,4.8606
robertgriffiniii/2533033,"Griffin III, Robert",42,42,20,275,1670,0.4762,13.7500,83.5000,6.0727
denardrobinson/2539260,"Robinson, Denard",55,55,8,263,1058,0.1455,32.8750,132.2500,4.0228
alfredmorris/2533457,"Morris, Alfred",78,78,11,1147,4956,0.1410,104.2727,450.5455,4.3208
darrensproles/2506467,"Sproles, Darren",106,106,4,472,2418,0.0377,118.0000,604.5000,5.1229
charcandrickwest/2550268,"West, Charcandrick",36,36,1,248,927,0.0278,248.0000,927.0000,3.7379
mattasiata/2495258,"Asiata, Matt",74,74,3,361,1259,0.0405,120.3333,419.6667,3.4875
deangelowilliams/2495979,"Williams, DeAngelo",84,84,8,976,4246,0.0952,122.0000,530.7500,4.3504
joiquebell/497145,"Bell, Joique",75,75,11,564,2241,0.1467,51.2727,203.7273,3.9734
mattjones/2552635,"Jones, Matt",20,20,7,243,950,0.3500,34.7143,135.7143,3.9095
chrisjohnson/262,"Johnson, Chris",95,95,13,1509,6303,0.1368,116.0769,484.8462,4.1769
ronniehillman/2533437,"Hillman, Ronnie",56,56,7,494,1976,0.1250,70.5714,282.2857,4.0000
melvingordon/2552469,"Gordon, Melvin",27,27,7,438,1638,0.2593,62.5714,234.0000,3.7397
demarcomurray/2495207,"Murray, DeMarco",84,84,13,1420,6515,0.1548,109.2308,501.1538,4.5880
ryantannehill/2532956,"Tannehill, Ryan",77,77,17,216,1065,0.2208,12.7059,62.6471,4.9306
pierrethomas/2507141,"Thomas, Pierre",69,69,1,505,2139,0.0145,505.0000,2139.0000,4.2356
camnewton/2495455,"Newton, Cam",93,93,15,689,3566,0.1613,45.9333,237.7333,5.1756
bobbyrainey/2534571,"Rainey, Bobby",61,61,3,266,1053,0.0492,88.6667,351.0000,3.9586
andydalton/2495143,"Dalton, Andy",93,93,12,308,950,0.1290,25.6667,79.1667,3.0844
eddielacy/2540168,"Lacy, Eddie",51,51,7,788,3435,0.1373,112.5714,490.7143,4.3591
christinemichael/2539322,"Michael, Christine",37,37,2,254,1080,0.0541,127.0000,540.0000,4.2520
terrancewest/2543664,"West, Terrance",38,38,5,426,1678,0.1316,85.2000,335.6000,3.9390
ryanmathews/497188,"Mathews, Ryan",86,86,20,1184,5261,0.2326,59.2000,263.0500,4.4434
jamaalcharles/925,"Charles, Jamaal",72,72,18,1075,5783,0.2500,59.7222,321.2778,5.3795
lataviusmurray/2541161,"Murray, Latavius",45,45,6,543,2278,0.1333,90.5000,379.6667,4.1952
justinforsett/927,"Forsett, Justin",92,92,3,706,3271,0.0326,235.3333,1090.3333,4.6331
isaacredman/2507591,"Redman, Isaac",49,49,6,282,1148,0.1224,47.0000,191.3333,4.0709
jeremylangford/2552379,"Langford, Jeremy",28,28,2,210,737,0.0714,105.0000,368.5000,3.5095
beaniewells/79661,"Wells, Beanie",35,35,6,449,1678,0.1714,74.8333,279.6667,3.7372
kniledavis/2540178,"Davis, Knile",57,57,4,250,805,0.0702,62.5000,201.2500,3.2200
devontafreeman/2543583,"Freeman, Devonta",47,47,4,557,2383,0.0851,139.2500,595.7500,4.2783
fredjackson/2506871,"Jackson, Fred",82,82,12,880,3813,0.1463,73.3333,317.7500,4.3330
joeflacco/382,"Flacco, Joe",106,106,14,214,476,0.1321,15.2857,34.0000,2.2243
mikelleshoure/2495468,"Leshoure, Mikel",17,17,3,217,807,0.1765,72.3333,269.0000,3.7189
bernardpierce/2533545,"Pierce, Bernard",52,52,1,359,1345,0.0192,359.0000,1345.0000,3.7465
timhightower/4383,"Hightower, Tim",45,45,4,466,1980,0.0889,116.5000,495.0000,4.2489
